pdb_id,method,resolution_a,comp_id,comp_name,formula,formula_weight,comp_type,smiles,heavy_atoms,auth_asym_ids,classification,tier
9JYO,X-RAY DIFFRACTION,1.6,A1EDY,2-(4-aminophenyl)ethanoic acid,C8 H9 N O2,151.163,non-polymer,c1cc(ccc1CC(=O)O)N,11,A,ligand,drug_like
9JYO,X-RAY DIFFRACTION,1.6,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JYO,X-RAY DIFFRACTION,1.6,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JYO,X-RAY DIFFRACTION,1.6,CL,CHLORIDE ION,Cl,35.453,non-polymer,[Cl-],1,A,additive_code,
9JYP,X-RAY DIFFRACTION,1.6,A1EDZ,4-oxidanylidene-4-thiophen-2-yl-butanoic acid,C8 H8 O3 S,184.212,non-polymer,c1cc(sc1)C(=O)CCC(=O)O,12,A,ligand,drug_like
9JYP,X-RAY DIFFRACTION,1.6,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JYP,X-RAY DIFFRACTION,1.6,CL,CHLORIDE ION,Cl,35.453,non-polymer,[Cl-],1,A,additive_code,
9JYP,X-RAY DIFFRACTION,1.6,P33,"3,6,9,12,15,18-HEXAOXAICOSANE-1,20-DIOL",C14 H30 O8,326.383,non-polymer,C(COCCOCCOCCOCCOCCOCCO)O,22,A,additive_code,
9JYR,X-RAY DIFFRACTION,1.65,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JYR,X-RAY DIFFRACTION,1.65,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JYR,X-RAY DIFFRACTION,1.65,A1ED0,1H-indol-4-ylmethanol,C9 H9 N O,147.174,non-polymer,c1cc(c2cc[nH]c2c1)CO,11,A,ligand,fragment
9JYS,X-RAY DIFFRACTION,1.75,A1ED1,"4-(aminomethyl)-N,N-dimethyl-aniline",C9 H14 N2,150.221,non-polymer,CN(C)c1ccc(cc1)CN,11,A,ligand,drug_like
9JYS,X-RAY DIFFRACTION,1.75,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JYS,X-RAY DIFFRACTION,1.75,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JYT,X-RAY DIFFRACTION,1.85,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JYT,X-RAY DIFFRACTION,1.85,A1EDX,Idramantone,C10 H14 O2,166.217,non-polymer,C1[C@@H]2CC3(C[C@@H](C2=O)CC1C3)O,12,A,ligand,drug_like
9JYT,X-RAY DIFFRACTION,1.85,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JYT,X-RAY DIFFRACTION,1.85,CL,CHLORIDE ION,Cl,35.453,non-polymer,[Cl-],1,A,additive_code,
9JYV,X-RAY DIFFRACTION,1.8,A1ED2,1-methylpyridin-2-one,C6 H7 N O,109.126,non-polymer,CN1C=CC=CC1=O,8,A,ligand,fragment
9JYV,X-RAY DIFFRACTION,1.8,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JYV,X-RAY DIFFRACTION,1.8,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JZ2,X-RAY DIFFRACTION,1.55,A1ED3,N-(5-azanyl-2-methyl-phenyl)ethanamide,C9 H12 N2 O,164.204,non-polymer,Cc1ccc(cc1NC(=O)C)N,12,A,ligand,drug_like
9JZ2,X-RAY DIFFRACTION,1.55,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JZ2,X-RAY DIFFRACTION,1.55,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
9JZ2,X-RAY DIFFRACTION,1.55,CL,CHLORIDE ION,Cl,35.453,non-polymer,[Cl-],1,A,additive_code,
9JZ3,X-RAY DIFFRACTION,1.98,PE8,"3,6,9,12,15,18,21-HEPTAOXATRICOSANE-1,23-DIOL",C16 H34 O9,370.436,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCO)O,25,A,additive_code,
9JZ3,X-RAY DIFFRACTION,1.98,CL,CHLORIDE ION,Cl,35.453,non-polymer,[Cl-],1,A,additive_code,
9JZ3,X-RAY DIFFRACTION,1.98,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
