rgroup_id,linker_id,linker_smiles,aryl_smiles,fragment_smiles,aryl_heavy_atoms,aryl_mw,chembl_pool_frequency
rg0169,1C,C,c1cc2c3c(c1)ncn3CCC2,[*]Cc1cc2c3c(c1)ncn3CCC2,12,158.2,13
rg0170,2C,CC,c1cc2c3c(c1)ncn3CCC2,[*]CCc1cc2c3c(c1)ncn3CCC2,12,158.2,13
rg0171,3C,CCC,c1cc2c3c(c1)ncn3CCC2,[*]CCCc1cc2c3c(c1)ncn3CCC2,12,158.2,13
rg0172,alpha_Me,C(C),c1cc2c3c(c1)ncn3CCC2,[*]C(C)c1cc2c3c(c1)ncn3CCC2,12,158.2,13
rg0173,gem_diMe,C(C)(C),c1cc2c3c(c1)ncn3CCC2,[*]C(C)(C)c1cc2c3c(c1)ncn3CCC2,12,158.2,13
rg0174,direct,,c1cc[nH+]cc1,[*]c1cc[nH+]cc1,6,80.11,13
rg0175,1C,C,c1cc[nH+]cc1,[*]Cc1cc[nH+]cc1,6,80.11,13
rg0176,2C,CC,c1cc[nH+]cc1,[*]CCc1cc[nH+]cc1,6,80.11,13
rg0177,3C,CCC,c1cc[nH+]cc1,[*]CCCc1cc[nH+]cc1,6,80.11,13
rg0178,alpha_Me,C(C),c1cc[nH+]cc1,[*]C(C)c1cc[nH+]cc1,6,80.11,13
rg0179,gem_diMe,C(C)(C),c1cc[nH+]cc1,[*]C(C)(C)c1cc[nH+]cc1,6,80.11,13
rg0180,direct,,C1=[NH+]CCc2ccccc21,[*]C1=[NH+]CCc2ccccc21,10,132.19,13
rg0181,1C,C,C1=[NH+]CCc2ccccc21,[*]CC1=[NH+]CCc2ccccc21,10,132.19,13
rg0182,2C,CC,C1=[NH+]CCc2ccccc21,[*]CCC1=[NH+]CCc2ccccc21,10,132.19,13
rg0183,3C,CCC,C1=[NH+]CCc2ccccc21,[*]CCCC1=[NH+]CCc2ccccc21,10,132.19,13
